#
# Time		Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]
#
# 2014-0107-192657  0.236  0.268  0.787  Lowest temperature
# 2014-0107-192755  0.235  0.268  0.787  Lowest temperature
# 2014-0107-195855  0.234  0.267  0.787  Lowest temperature
# 2014-0108-182655  1.088  0.593  3.0  He3U Head > 0.4 K
# 2014-0108-214053  0.353  0.456  0.936  Cooled
# 2014-0109-012758  0.233  0.266  0.787  Lowest temperature
#
# Time   Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]  Hold Time [h]  Lowest Temperature [K]  State
#
2014-0613-100656  0.269  0.455  2.246  -  -  Cooled
2014-0613-101255  0.27  0.456  2.246  0.10  0.267  He3U Head > 0.27 K
2014-0613-101756  0.269  0.457  2.246  -  -  Cooled
2014-0613-101854  0.27  0.457  2.246  0.02  0.269  He3U Head > 0.27 K
2014-0613-101952  0.268  0.457  2.246  -  -  Cooled
2014-0613-102257  0.27  0.457  2.246  0.05  0.268  He3U Head > 0.27 K
2014-0613-102551  0.269  0.457  2.246  -  -  Cooled
2014-0613-102856  0.27  0.458  2.246  0.05  0.269  He3U Head > 0.27 K
2014-0613-102954  0.269  0.458  2.246  -  -  Cooled
2014-0613-162101  0.281  0.504  2.247  5.85  0.266  He3U Head > 0.27 K
2014-0613-162159  0.267  0.503  2.247  -  -  Cooled
2014-0613-182151  0.27  0.522  2.247  2.00  0.266  He3U Head > 0.27 K
2014-0613-182957  0.269  0.524  2.248  -  -  Cooled
2014-0613-183153  0.27  0.524  2.247  0.03  0.269  He3U Head > 0.27 K
2014-0702-034103  0.269  0.269  0.791  -  -  Cooled
2014-0702-070201  0.518  0.357  1.05  3.35  0.230  He3U Head > 0.27 K
2014-0702-093054  0.269  0.318  0.799  -  -  Cooled
2014-0702-205656  0.291  0.321  0.791  11.43  0.221  He3U Head > 0.27 K
2014-0702-210453  0.268  0.298  0.79  -  -  Cooled
2014-0702-234554  0.285  0.295  1.183  2.68  0.218  He3U Head > 0.27 K
2014-0704-013157  0.223  300.0  300.0  -  -  Cooled
2014-0704-013255  330.05  300.0  0.05  0.02  0.223  He3U Head > 0.27 K
2014-0704-153758  0.268  0.299  0.794  -  -  Cooled
2014-0704-195200  0.285  0.288  1.039  4.23  0.230  He3U Head > 0.27 K
2014-0708-050458  0.269  0.271  0.787  -  -  Cooled
2014-0708-070200  0.52  0.353  0.984  1.95  0.243  He3U Head > 0.27 K
2014-0708-092755  0.268  0.304  0.793  -  -  Cooled
2014-0709-013459  0.953  0.471  1.267  16.12  0.222  He3U Head > 0.27 K
2014-0717-164859  0.268  0.315  0.81  -  -  Cooled
2014-0718-020658  1.078  0.588  3.189  9.30  0.224  He3U Head > 0.27 K
2014-0718-043959  0.268  0.315  0.809  -  -  Cooled
2014-0718-150753  0.772  0.493  3.072  10.46  0.224  He3U Head > 0.27 K
2014-0718-164253  0.268  0.315  0.809  -  -  Cooled
2014-0719-034051  0.318  0.376  2.537  10.97  0.224  He3U Head > 0.27 K
2014-0719-061600  0.267  0.313  0.809  -  -  Cooled
2014-0719-142755  0.902  0.442  1.227  8.20  0.224  He3U Head > 0.27 K
2014-0719-170000  0.269  0.317  0.81  -  -  Cooled
2014-0720-031958  0.945  0.514  3.131  10.33  0.224  He3U Head > 0.27 K
2014-0720-055257  0.269  0.317  0.81  -  -  Cooled
2014-0720-155200  0.488  0.399  2.667  9.98  0.224  He3U Head > 0.27 K
2014-0720-182558  0.268  0.315  0.81  -  -  Cooled
2014-0721-040550  0.948  0.516  3.142  9.66  0.224  He3U Head > 0.27 K
2014-0721-064001  0.269  0.313  0.809  -  -  Cooled
2014-0721-162359  0.743  0.454  2.97  9.73  0.224  He3U Head > 0.27 K
2014-0721-185758  0.268  0.315  0.81  -  -  Cooled
2014-0722-043902  1.076  0.578  3.178  9.68  0.224  He3U Head > 0.27 K
2014-0722-071302  0.267  0.314  0.809  -  -  Cooled
2014-0722-165001  0.489  0.4  2.677  9.62  0.224  He3U Head > 0.27 K
2014-0722-192400  0.269  0.316  0.81  -  -  Cooled
2014-0723-045153  0.946  0.515  3.143  9.46  0.224  He3U Head > 0.27 K
2014-0806-030754  0.27  0.319  2.395  0.00  0.236  He3U Head > 0.27 K
2014-0806-063600  0.253  0.326  2.263  -  -  Cooled
2014-0806-063756  0.27  0.325  2.263  0.03  0.253  He3U Head > 0.27 K
2014-0806-063854  0.261  0.325  2.262  -  -  Cooled
